format,transform,accuracy
FP32,baseline,0.984375
FP16,baseline,0.984375
INT4,base,0.9765625
INT4,smooth,0.9765625
INT4,had,0.97265625
INT4_FP,base,0.984375
INT4_FP,smooth,0.98046875
INT4_FP,had,0.984375
FP4,base,0.97265625
FP4,smooth,0.97265625
FP4,had,0.97265625
NF4,base,0.98046875
NF4,smooth,0.98046875
NF4,had,0.984375
NF4_FP8,base,0.97265625
NF4_FP8,smooth,0.984375
NF4_FP8,had,0.98046875
APoT4,base,0.98046875
APoT4,smooth,0.98046875
APoT4,had,0.98046875
LOG4,base,0.97265625
LOG4,smooth,0.97265625
LOG4,had,0.97265625
NVFP4,base,0.9765625
NVFP4,smooth,0.9765625
NVFP4,had,0.9765625
MXINT4,base,0.97265625
MXINT4,smooth,0.9765625
MXINT4,had,0.9765625
MXFP4,base,0.97265625
MXFP4,smooth,0.97265625
MXFP4,had,0.96875
